date,symbol,open,high,low,close,volume,openint,amount
2021-11-11,DFJ0,2698.5,2907.0,2698.5,2848.0,28171,26728,8563803000.0
2021-11-12,DFJ0,2801.0,2825.0,2700.0,2720.5,24435,24573,7320641000.0
2021-11-15,DFJ0,2672.5,2698.5,2476.5,2495.5,31462,22677,8824465000.0
2021-11-16,DFJ0,2506.5,2571.0,2463.5,2474.0,19164,22113,5221956000.0
2021-11-17,DFJ0,2449.0,2624.5,2449.0,2559.0,22716,21670,6236853000.0
2021-11-18,DFJ0,2580.5,2617.0,2526.0,2552.5,19713,20777,5494264000.0
2021-11-19,DFJ0,2562.0,2635.5,2469.5,2581.5,26566,20726,7336279000.0
2021-11-22,DFJ0,2539.0,2685.0,2533.0,2641.0,19345,20866,5518420000.0
2021-11-23,DFJ0,2634.5,2724.0,2634.5,2654.5,18367,20120,5347098000.0
2021-11-24,DFJ0,2654.0,2810.5,2650.5,2810.5,19097,20941,5679776000.0
2021-11-25,DFJ0,2774.5,2838.5,2746.5,2805.0,15553,19704,4715520000.0
2021-11-26,DFJ0,2797.0,2801.5,2619.5,2633.0,18771,17031,5518237000.0
2021-11-29,DFJ0,2594.0,2655.0,2580.5,2599.0,13857,14992,3932803000.0
2021-11-30,DFJ0,2608.5,2708.0,2600.0,2663.0,25646,17632,6812637000.0
2021-12-01,DFJ0,2681.0,2812.5,2676.5,2798.0,29843,20577,8229397000.000001
2021-12-02,DFJ0,2810.0,2843.0,2710.0,2710.0,34779,21966,9676318000.0
2021-12-03,DFJ0,2703.5,2876.5,2666.0,2847.0,39912,23760,11008800000.0
2021-12-06,DFJ0,2875.5,2898.5,2786.0,2844.0,29265,24267,8318704000.0
2021-12-07,DFJ0,2869.0,2999.0,2869.0,2949.0,37584,27961,11100720000.0
2021-12-08,DFJ0,2967.5,3017.5,2910.0,2916.5,35939,27358,10622820000.0
2021-12-09,DFJ0,2917.0,3000.5,2883.0,2920.5,37060,28283,10898620000.000002
2021-12-10,DFJ0,2888.0,2978.0,2853.5,2911.0,41960,28741,12238880000.0
2021-12-13,DFJ0,2935.0,2982.5,2847.5,2972.0,43893,29730,12761430000.0
2021-12-14,DFJ0,2984.5,3015.0,2936.0,2968.0,30441,31108,9066794000.0
2021-12-15,DFJ0,2988.0,3047.0,2955.0,2996.5,35644,34247,10687030000.0
2021-12-16,DFJ0,2995.0,3058.0,2963.5,3053.0,32559,36660,9825164000.0
2021-12-17,DFJ0,3053.0,3098.5,3019.5,3051.0,31096,35672,9521090000.0
2021-12-20,DFJ0,3054.0,3140.0,2988.5,2993.5,45506,35114,13974290000.0
2021-12-21,DFJ0,2991.0,3089.5,2966.0,3078.5,41243,34941,12463100000.0
2021-12-22,DFJ0,3050.0,3110.0,3028.5,3067.0,31288,34988,9603062000.0
2021-12-23,DFJ0,3070.0,3107.0,3046.0,3087.5,24381,35979,7500904000.0
2021-12-24,DFJ0,3096.5,3169.0,3090.0,3168.5,34827,39095,10900250000.0
2021-12-27,DFJ0,3160.0,3166.5,2917.0,2935.5,52189,35209,15809210000.0
2021-12-28,DFJ0,2927.0,2948.0,2886.0,2895.0,38140,33650,11117780000.0
2021-12-29,DFJ0,2895.0,2938.0,2874.5,2934.0,30455,31411,8843391000.0
2021-12-30,DFJ0,2934.0,2953.0,2880.0,2911.0,34726,31328,10122440000.0
2021-12-31,DFJ0,2898.5,2945.0,2862.0,2934.0,31426,29932,9136912000.0
